SRC_ID	TGT_ID	SRC_LANG	TGT_LANG	SRC_SENT	TGT_SENT	PRED
21678	4784802	eng	kan	Do you remember?	ನಿಮಗೆ ನೆನಪು ಇದ್ಯಾ?	ನಿಮಗೆ ನೆನಪಿದೆಯೇ?
22638	4775427	eng	kan	We were caught in a storm.	ನಾವು ಬಿರುಗಾಳಿಯಿಂದ ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳಿದ್ದೆವಿ.	ನಾವು ಚಂಡಮಾರುತದಲ್ಲಿ ಸಿಕ್ಕಿಬಿದ್ದಿದ್ದೇವೆ.
23860	4776872	eng	kan	Don't forget to put out the fire.	ಬೆಂಕಿಯನ್ನು ನಂದಿಸುವುದಕ್ಕೆ ಮರೆಯಬೇಡಿ.	ಬೆಂಕಿಯನ್ನು ಹೊರಹಾಕಲು ಮರೆಯಬೇಡಿ.
25164	8902986	eng	kan	What's up?	ಆರಾಮಾ?	ಏನಿದೆ?
27516	4783909	eng	kan	Can you speak English at all?	ನಿಮಗೆ ಆಂಗ್ಲಭಾಷೆಯನ್ನು ಮಾತಾಡುವುದಕ್ಕೆ ಬರತ್ತಾ?	ನೀವು ಇಂಗ್ಲಿಷ್ ಮಾತನಾಡಬಹುದೇ?
32654	4784801	eng	kan	I've never been to Paris.	ನಾನು ಪ್ಯಾರಿಸಿಗೆ ಎಂದಿಗೂ ಹೋಗಿಲ್ಲ.	ನಾನು ಎಂದಿಗೂ ಪ್ಯಾರಿಸ್ ಗೆ ಹೋಗಿಲ್ಲ.
35958	4783956	eng	kan	She will be relocated to New Zealand.	ಅವಳನ್ನು ನ್ಯೂ ಜಿಲಂಡಿಗೆ ಸ್ಥಳಾಂತರಿಸುತ್ತಾರೆ.	ಅವಳನ್ನು ನ್ಯೂಜಿಲೆಂಡ್ ಗೆ ಸ್ಥಳಾಂತರಿಸಲಾಗುವುದು.
38003	4784782	eng	kan	One of us will have to go.	ನಮ್ಮಲ್ಲಿ ಒಬ್ಬರು ಹೋಗಲೇ ಬೇಕಾಗುತ್ತದೆ.	ನಮ್ಮಲ್ಲಿ ಒಬ್ಬರು ಹೋಗಬೇಕಾಗುತ್ತದೆ.
38191	4774616	eng	kan	Where can dollars be exchanged for pounds?	ಎಲ್ಲಿ ಡಾಲರ್ಗಳನ್ನು ಪೌಂಡ್ಸ್ಗೆ ಬದಲಾಯಿಸಬಹುದು?	ಪೌಂಡ್ಗಳಿಗೆ ಡಾಲರ್ಗಳನ್ನು ಎಲ್ಲಿ ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳಬಹುದು?
41838	4783936	eng	kan	Put it back where you got it from.	ಇದನ್ನು ಎಲ್ಲಿ ಸಿಕ್ಕಿತ್ತೋ ಅಲ್ಲೇ ಇಡು.	ನೀವು ಅದನ್ನು ಎಲ್ಲಿಂದ ಪಡೆದುಕೊಂಡಿದ್ದೀರಿ.
42939	8903002	eng	kan	What do you think about it?	ನಿಮಗೆ ಏನು ಅನ್ನಿಸುತ್ತೆ	ಅದರ ಬಗ್ಗೆ ನೀವು ಏನು ಯೋಚಿಸುತ್ತೀರಿ?
43928	4776859	eng	kan	Where is the book?	ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?	ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?
47105	4788530	eng	kan	The accident caused a traffic jam.	ಅಪಘಾತದ ಕಾರಣದಿಂದ ಸಂಚಾರ ಸ್ತಂಭನ ಇತ್ತು.	ಅಪಘಾತಕ್ಕೆ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ಉಂಟಾಯಿತು.
54438	4774187	eng	kan	Let me know your departure in advance.	ನಿಮ್ಮ ನಿರ್ಗಮನದ ಬಗ್ಗೆ ಮೊದಲೇ ನನಗೆ ತಿಳಿಸಿರಿ.	ನಿಮ್ಮ ನಿರ್ಗಮನವನ್ನು ಮುಂದೆ ನನಗೆ ತಿಳಿಸಿ.
54503	8902990	eng	kan	How's your family?	ನಿಮ್ಮ ಮನೇಲಿ ಹೆಂಗಿದ್ದಾರೆ	ನಿಮ್ಮ ಕುಟುಂಬ ಹೇಗಿದೆ?
55399	4082799	eng	kan	This is a book.	ಇದು ಪುಸ್ತಕ.	ಇದು ಪುಸ್ತಕ.
57328	4774671	eng	kan	This room looks like a pigsty.	ಈ ಕೊಠಡಿ ಹಂದಿಮನೆ ತರಹ ಇದೆ.	ಈ ಕೋಣೆ ಹಂದಿಮಾಂಸದಂತೆ ಕಾಣುತ್ತದೆ.
61911	5387062	eng	kan	What's going on here?	ಇಲ್ಲಿ ಏನು ನಡಿತಾಯಿದೆ?	ಇಲ್ಲಿ ಏನು ನಡೆಯುತ್ತಿದೆ?
63656	4774670	eng	kan	The couple posed for the photograph.	ಜೋಡಿ ಇಬ್ಬರು ಫೋಟೋಗೆ ನಿಲ್ಲಿದರು.	ದಂಪತಿ.ಾಯಾಚಿತ್ರಕ್ಕಾಗಿ ಪೋಸ್ ಮಾಡಿದ್ದಾರೆ.
70587	4776816	eng	kan	Would you mind my moving your car?	ನಿಮಗೆ ತೊಂದರೆ ಇಲ್ಲವೆಂದರೆ ನಿಮ್ಮ ಕಾರನ್ನು ಜರಗಿಸುತ್ತೀರಾ?	ನಾನು ನಿಮ್ಮ ಕಾರನ್ನು ಚಲಾಯಿಸಲು ನೀವು ಮನಸ್ಸು ಮಾಡುತ್ತೀರಾ?
72812	4776797	eng	kan	They have announced their engagement.	ಅವರು ಅವರ ನಿಶ್ಚಿತಾರ್ಥದವನ್ನು ಪ್ರಕಟಿಸಿದ್ದಾರೆ.	ಅವರು ತಮ್ಮ ನಿಶ್ಚಿತಾರ್ಥ ಘೋಷಿಸಿದ್ದಾರೆ.
237698	4784822	eng	kan	I believe in you.	ನಾನು ನಿನ್ನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇನೆ.	ನಾನು ನಿಮ್ಮನ್ನು ನಂಬುತ್ತೇನೆ.
241168	4784821	eng	kan	She was very bored during the lecture.	ಪ್ರವಚನ ನಡೆಯುತ್ತಿರುವಾಗ ನನಗೆ ತುಂಬಾ ಬೇಸರವಾಗಿತ್ತು.	ಅವಳು ಉಪನ್ಯಾಸದ ಸಮಯದಲ್ಲಿ ತುಂಬಾ ಬೇಸರಗೊಂಡಿದ್ದಳು.
243101	4783913	eng	kan	There are many new programs to watch this spring.	ಬರುವ ವಸಂತಕಾಲದಲ್ಲಿ ನೋಡುವುದಕ್ಕೆ ಹಲವರು ಕಾರ್ಯಕ್ರಮಗಳು ಇವೆ.	ಈ ವಸಂತವನ್ನು ವೀಕ್ಷಿಸಲು ಹಲವು ಹೊಸ ಕಾರ್ಯಕ್ರಮಗಳಿವೆ.
251611	4776847	eng	kan	My father and my brother work in this factory.	ನನ್ನ ತಂದೆ ಹಾಗು ನನ್ನ ಅಣ್ಣ ಈ ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.	ನನ್ನ ತಂದೆ ಮತ್ತು ನನ್ನ ಸಹೋದರ ಈ ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.
255488	4776456	eng	kan	I traveled by myself.	ನಾನು ಒಂಟಿಯಾಗಿ ಪಯಣ ಮಾಡಿದೆ.	ನಾನು ನನ್ನ ಮೂಲಕ ಪ್ರಯಾಣಿಸಿದೆ.
258409	4783945	eng	kan	I have enough money to buy a car.	ನನಗೆ ಕಾರನ್ನು ಖರೀದಿಸುವುದಕ್ಕೆ ಸಾಕಷ್ಟು ಹಣವಿದೆ.	ಕಾರು ಖರೀದಿಸಲು ನನಗೆ ಸಾಕಷ್ಟು ಹಣವಿದೆ.
259383	4784815	eng	kan	I made sure that no one was watching.	ಯಾರೂ ನೋಡುತ್ತಿರಲಿಲ್ಲವೆಂದು ನಾನು ಖಚಿತಪಡಿಸಿಕೊಂಡೆ.	ಯಾರೂ ನೋಡುತ್ತಿಲ್ಲ ಎಂದು ನಾನು ಖಚಿತಪಡಿಸಿಕೊಂಡೆ.
259790	4776803	eng	kan	I'm getting better every day.	ಪ್ರತಿದಿನ ನಾನು ಸುಧಾರಿಸುತ್ತಿದ್ದೇನೆ.	ನಾನು ಪ್ರತಿದಿನ ಉತ್ತಮವಾಗಿದ್ದೇನೆ.
263708	4774736	eng	kan	The cause of the accident is unknown.	ಅಪಘಾತದ ಕಾರಣವೇ ಗೊತ್ತಿಲ್ಲ.	ಅಪಘಾತದ ಕಾರಣ ತಿಳಿದಿಲ್ಲ.
271741	4776782	eng	kan	Have you ever eaten raw fish?	ನೀವು ಯಾವಾಗಲಾದರೂ ಕಚ್ಚಾ ಮೀನು ತಿಂದಿದ್ದೀರಾ?	ನೀವು ಎಂದಾದರೂ ಕಚ್ಚಾ ಮೀನು ತಿನ್ನಿದ್ದೀರಾ?
273302	4775502	eng	kan	The war is still going on.	ಯುದ್ಧ ಇನ್ನೂ ನಡೆಯುತ್ತಿದೆ.	ಯುದ್ಧವು ಇನ್ನೂ ನಡೆಯುತ್ತಿದೆ.
283524	4783917	eng	kan	It was because he was sick that he decided to return home.	ಅವನಿಗೆ ಹುಷಾರು ಇರಲಿಲ್ಲ ಅಂತ ಅವನು ಮನಗೆ ವಾಪಸ್ಸು ಬರವುದಕ್ಕೆ ನಿರ್ದರಿಸಿದ.	ಏಕೆಂದರೆ ಅವರು ಮನೆಗೆ ಹಿಂದಿರುಗಲು ನಿರ್ಧರಿಸಿದ್ದಾರೆ ಎಂದು ಅವರು ಅನಾರೋಗ್ಯದಿಂದ ಬಳಲುತ್ತಿದ್ದರು.
288595	4783920	eng	kan	He arrived at the station at five.	ಅವನು ಠಾಣೆಗೆ ಐದು ಗಂಟೆಗೆ ತಲುಪಿದ.	ಅವರು ಐದಕ್ಕೆ ನಿಲ್ದಾಣಕ್ಕೆ ಆಗಮಿಸಿದರು.
291092	4774755	eng	kan	He swam across the river.	ಅವನು ನದಿ ಅಡ್ಡಲಾಗಿ ಈಜಿದನು.	ಅವನು ನದಿಯ ಅಡ್ಡಲಾಗಿ ಚಲಿಸುತ್ತಾನೆ.
291525	4774645	eng	kan	He couldn't keep his temper any longer.	ಜಾಸ್ತಿ ಹೊತ್ತು ಅವನಿಗೆ ಅವನ ಕೋಪ ತಡೆಯುವುದಕ್ಕೆ ಆಗಲಿಲ್ಲ.	ಅವನಿಗೆ ಇನ್ನು ಮುಂದೆ ತನ್ನ ಕೋಪವನ್ನು ಇಟ್ಟುಕೊಳ್ಳಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
293914	4774611	eng	kan	From a movie star he became a statesman.	ಚಲನ ಚಿತ್ರ ತಾರೆಯಿಂದ ಅವರು ರಾಜನೀತಿಜ್ಞರಾಗಿದರು.	ಚಿತ್ರದಿಂದಲೇ ಅವರು ರಾಜ್ಯಪಾಲರಾಗಿದ್ದರು.
297088	4774758	eng	kan	He had an accident at work.	ಕೆಲಸದಲ್ಲಿ ಅವನಿಗೆ ಅಪಘಾತವಾಯಿತು.	ಅವರು ಕೆಲಸದಲ್ಲಿ ಅಪಘಾತ ಹೊಂದಿದ್ದರು.
303926	4776869	eng	kan	He goes abroad every year.	ಪ್ರತಿವರ್ಷ ಅವನು ವಿದೇಶಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.	ಅವರು ಪ್ರತಿ ವರ್ಷ ವಿದೇಶಕ್ಕೆ ಹೋಗುತ್ತಾರೆ.
304024	4776786	eng	kan	He bought his daughter a new dress.	ಅವನು ಅವನ ಮಗಳಿಗೆ ಹೊಸ ಬಟ್ಟೆಯನ್ನು ಖರೀದಿಸಿದನು.	ಅವರು ತನ್ನ ಮಗಳನ್ನು ಹೊಸ ಉಡುಗೆ ಖರೀದಿಸಿದರು.
