SRC_ID	TGT_ID	SRC_LANG	TGT_LANG	SRC_SENT	TGT_SENT	PRED	GOOGLETRANSLATE
21678	4784802	eng	kan	Do you remember?	ನಿಮಗೆ ನೆನಪು ಇದ್ಯಾ?	ನಿಮಗೆ ನೆನಪಿದೆಯೇ?	ನಿನಗೆ ನೆನಪಿದೆಯಾ?
22638	4775427	eng	kan	We were caught in a storm.	ನಾವು ಬಿರುಗಾಳಿಯಿಂದ ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳಿದ್ದೆವಿ.	ನಾವು ಚಂಡಮಾರುತದಲ್ಲಿ ಸಿಕ್ಕಿಬಿದ್ದಿದ್ದೇವೆ.	ನಾವು ಒಂದು ಚಂಡಮಾರುತದ ಸಿಲುಕಿದರು.
23860	4776872	eng	kan	Don't forget to put out the fire.	ಬೆಂಕಿಯನ್ನು ನಂದಿಸುವುದಕ್ಕೆ ಮರೆಯಬೇಡಿ.	ಬೆಂಕಿಯನ್ನು ಹೊರಹಾಕಲು ಮರೆಯಬೇಡಿ.	ಬೆಂಕಿ ಆರಿಸಲು ಮರೆಯಬೇಡಿ.
25164	8902986	eng	kan	What's up?	ಆರಾಮಾ?	ಏನಿದೆ?	ಎನ್ ಸಮಾಚಾರ?
27516	4783909	eng	kan	Can you speak English at all?	ನಿಮಗೆ ಆಂಗ್ಲಭಾಷೆಯನ್ನು ಮಾತಾಡುವುದಕ್ಕೆ ಬರತ್ತಾ?	ನೀವು ಇಂಗ್ಲಿಷ್ ಮಾತನಾಡಬಹುದೇ?	ನೀವು ಇಂಗ್ಲೀಷ್ ಮಾತನಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ?
32654	4784801	eng	kan	I've never been to Paris.	ನಾನು ಪ್ಯಾರಿಸಿಗೆ ಎಂದಿಗೂ ಹೋಗಿಲ್ಲ.	ನಾನು ಎಂದಿಗೂ ಪ್ಯಾರಿಸ್ ಗೆ ಹೋಗಿಲ್ಲ.	ನಾನು ಪ್ಯಾರಿಸ್ಗೆ ಎಂದಿಗೂ ಮಾಡಿದ.
35958	4783956	eng	kan	She will be relocated to New Zealand.	ಅವಳನ್ನು ನ್ಯೂ ಜಿಲಂಡಿಗೆ ಸ್ಥಳಾಂತರಿಸುತ್ತಾರೆ.	ಅವಳನ್ನು ನ್ಯೂಜಿಲೆಂಡ್ ಗೆ ಸ್ಥಳಾಂತರಿಸಲಾಗುವುದು.	ಅವರು ನ್ಯೂಜಿಲ್ಯಾಂಡ್ ಸ್ಥಳಾಂತರಗೊಂಡರು ನಡೆಯಲಿದೆ.
38003	4784782	eng	kan	One of us will have to go.	ನಮ್ಮಲ್ಲಿ ಒಬ್ಬರು ಹೋಗಲೇ ಬೇಕಾಗುತ್ತದೆ.	ನಮ್ಮಲ್ಲಿ ಒಬ್ಬರು ಹೋಗಬೇಕಾಗುತ್ತದೆ.	ನಮಗೆ ಒಂದು ಹೋಗಬೇಕಾಗುತ್ತದೆ.
38191	4774616	eng	kan	Where can dollars be exchanged for pounds?	ಎಲ್ಲಿ ಡಾಲರ್ಗಳನ್ನು ಪೌಂಡ್ಸ್ಗೆ ಬದಲಾಯಿಸಬಹುದು?	ಪೌಂಡ್ಗಳಿಗೆ ಡಾಲರ್ಗಳನ್ನು ಎಲ್ಲಿ ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳಬಹುದು?	ಎಲ್ಲಿ ಡಾಲರ್ ಪೌಂಡ್ ವಿನಿಮಯ ಮಾಡಬಹುದಾದ?
41838	4783936	eng	kan	Put it back where you got it from.	ಇದನ್ನು ಎಲ್ಲಿ ಸಿಕ್ಕಿತ್ತೋ ಅಲ್ಲೇ ಇಡು.	ನೀವು ಅದನ್ನು ಎಲ್ಲಿಂದ ಪಡೆದುಕೊಂಡಿದ್ದೀರಿ.	ನೀವು ಅರ್ಥವಾಯಿತು ಅಲ್ಲಿ ಮತ್ತೆ ಹಾಕಲು.
42939	8903002	eng	kan	What do you think about it?	ನಿಮಗೆ ಏನು ಅನ್ನಿಸುತ್ತೆ	ಅದರ ಬಗ್ಗೆ ನೀವು ಏನು ಯೋಚಿಸುತ್ತೀರಿ?	ಇದರ ಬಗ್ಗೆ ನಿನಗೆ ಏನು ಅನ್ನಿಸುತ್ತದೆ?
43928	4776859	eng	kan	Where is the book?	ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?	ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?	ಪುಸ್ತಕ ಎಲ್ಲಿ?
47105	4788530	eng	kan	The accident caused a traffic jam.	ಅಪಘಾತದ ಕಾರಣದಿಂದ ಸಂಚಾರ ಸ್ತಂಭನ ಇತ್ತು.	ಅಪಘಾತಕ್ಕೆ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ಉಂಟಾಯಿತು.	ಅಪಘಾತದಲ್ಲಿ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ಉಂಟಾಗುತ್ತದೆ.
54438	4774187	eng	kan	Let me know your departure in advance.	ನಿಮ್ಮ ನಿರ್ಗಮನದ ಬಗ್ಗೆ ಮೊದಲೇ ನನಗೆ ತಿಳಿಸಿರಿ.	ನಿಮ್ಮ ನಿರ್ಗಮನವನ್ನು ಮುಂದೆ ನನಗೆ ತಿಳಿಸಿ.	ನನ್ನ ಮುಂಚಿತವಾಗಿ ನಿಮ್ಮ ನಿರ್ಗಮಿಸುವ ತಿಳಿಸಿ.
54503	8902990	eng	kan	How's your family?	ನಿಮ್ಮ ಮನೇಲಿ ಹೆಂಗಿದ್ದಾರೆ	ನಿಮ್ಮ ಕುಟುಂಬ ಹೇಗಿದೆ?	ನಿಮ್ಮ ಕುಟುಂಬ ಇಲ್ಲಿದೆ?
55399	4082799	eng	kan	This is a book.	ಇದು ಪುಸ್ತಕ.	ಇದು ಪುಸ್ತಕ.	ಇದು ಪುಸ್ತಕ.
57328	4774671	eng	kan	This room looks like a pigsty.	ಈ ಕೊಠಡಿ ಹಂದಿಮನೆ ತರಹ ಇದೆ.	ಈ ಕೋಣೆ ಹಂದಿಮಾಂಸದಂತೆ ಕಾಣುತ್ತದೆ.	ಈ ಕೋಣೆಯಲ್ಲಿ ಒಂದು pigsty ತೋರುತ್ತಿದೆ.
61911	5387062	eng	kan	What's going on here?	ಇಲ್ಲಿ ಏನು ನಡಿತಾಯಿದೆ?	ಇಲ್ಲಿ ಏನು ನಡೆಯುತ್ತಿದೆ?	ಇಲ್ಲಿ ಏನು ನಡೆಯುತ್ತಿದೆ?
63656	4774670	eng	kan	The couple posed for the photograph.	ಜೋಡಿ ಇಬ್ಬರು ಫೋಟೋಗೆ ನಿಲ್ಲಿದರು.	ದಂಪತಿ.ಾಯಾಚಿತ್ರಕ್ಕಾಗಿ ಪೋಸ್ ಮಾಡಿದ್ದಾರೆ.	ಒಂದೆರಡು ಛಾಯಾಚಿತ್ರಕ್ಕಾಗಿ ಒಡ್ಡಿದ.
70587	4776816	eng	kan	Would you mind my moving your car?	ನಿಮಗೆ ತೊಂದರೆ ಇಲ್ಲವೆಂದರೆ ನಿಮ್ಮ ಕಾರನ್ನು ಜರಗಿಸುತ್ತೀರಾ?	ನಾನು ನಿಮ್ಮ ಕಾರನ್ನು ಚಲಾಯಿಸಲು ನೀವು ಮನಸ್ಸು ಮಾಡುತ್ತೀರಾ?	ನೀವು ನನ್ನ ನಿಮ್ಮ ಕಾರು ಚಲಿಸುವ ಮನಸ್ಸಿಗೆ ಬಯಸುವಿರಾ?
72812	4776797	eng	kan	They have announced their engagement.	ಅವರು ಅವರ ನಿಶ್ಚಿತಾರ್ಥದವನ್ನು ಪ್ರಕಟಿಸಿದ್ದಾರೆ.	ಅವರು ತಮ್ಮ ನಿಶ್ಚಿತಾರ್ಥ ಘೋಷಿಸಿದ್ದಾರೆ.	ಅವರು ತಮ್ಮ ನಿಶ್ಚಿತಾರ್ಥವನ್ನು ಘೋಷಿಸಿವೆ.
237698	4784822	eng	kan	I believe in you.	ನಾನು ನಿನ್ನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇನೆ.	ನಾನು ನಿಮ್ಮನ್ನು ನಂಬುತ್ತೇನೆ.	ನಾನು ನಂಬಿಕೆ.
241168	4784821	eng	kan	She was very bored during the lecture.	ಪ್ರವಚನ ನಡೆಯುತ್ತಿರುವಾಗ ನನಗೆ ತುಂಬಾ ಬೇಸರವಾಗಿತ್ತು.	ಅವಳು ಉಪನ್ಯಾಸದ ಸಮಯದಲ್ಲಿ ತುಂಬಾ ಬೇಸರಗೊಂಡಿದ್ದಳು.	ಅವಳು ತುಂಬಾ ಉಪನ್ಯಾಸದ ಸಂದರ್ಭದಲ್ಲಿ ಬೇಸರ.
243101	4783913	eng	kan	There are many new programs to watch this spring.	ಬರುವ ವಸಂತಕಾಲದಲ್ಲಿ ನೋಡುವುದಕ್ಕೆ ಹಲವರು ಕಾರ್ಯಕ್ರಮಗಳು ಇವೆ.	ಈ ವಸಂತವನ್ನು ವೀಕ್ಷಿಸಲು ಹಲವು ಹೊಸ ಕಾರ್ಯಕ್ರಮಗಳಿವೆ.	ಈ ವಸಂತ ವೀಕ್ಷಿಸಲು ಅನೇಕ ಹೊಸ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ನಡೆಸಲಾಗುತ್ತಿದೆ.
